"ori_county","des_county","exemptions"
"01001","01003",340
"01001","01013",22
"01001","01021",1532
"01001","01047",557
"01001","01051",8186
"01001","01069",19
"01001","01073",715
"01001","01081",538
"01001","01085",49
"01001","01089",107
"01001","01097",188
"01001","01101",6019
"01001","01109",69
"01001","01113",16
"01001","01117",632
"01001","01123",107
"01001","01125",176
"01001","08041",167
"01001","12005",125
"01001","12033",34
"01001","12057",29
"01001","12091",93
"01001","13063",13
"01001","13121",29
"01001","13153",38
"01001","13215",77
"01001","17163",47
"01001","47157",24
"01001","48029",72
"01001","48453",70
"01001","51059",476
"01001","51153",52
"01003","01001",67
"01003","01009",21
"01003","01013",44
"01003","01015",82
"01003","01021",20
"01003","01025",169
"01003","01031",48
"01003","01035",33
"01003","01039",86
"01003","01043",40
"01003","01045",26
"01003","01047",22
"01003","01051",269
"01003","01053",1563
"01003","01055",87
"01003","01069",323
"01003","01073",1844
"01003","01077",41
"01003","01081",713
"01003","01083",27
"01003","01089",667
"01003","01095",60
"01003","01097",11819
"01003","01099",507
"01003","01101",543
"01003","01103",88
"01003","01113",42
"01003","01115",95
"01003","01117",1044
"01003","01121",26
"01003","01123",136
"01003","01125",803
"01003","01129",109
"01003","04013",159
"01003","06037",95
"01003","06073",219
"01003","08031",13
"01003","08041",22
"01003","12005",281
"01003","12009",19
"01003","12011",56
"01003","12031",276
"01003","12033",5568
"01003","12057",248
"01003","12071",18
"01003","12073",44
"01003","12086",114
"01003","12091",666
"01003","12095",228
"01003","12099",19
"01003","12101",20
"01003","12103",144
"01003","12105",30
"01003","12109",29
"01003","12113",1161
"01003","12131",135
"01003","13057",31
"01003","13067",141
"01003","13089",201
"01003","13117",23
"01003","13121",334
"01003","13135",142
"01003","13215",47
"01003","15003",21
"01003","17031",104
"01003","22033",138
"01003","22051",121
"01003","22055",16
"01003","22063",22
"01003","22071",198
"01003","22103",296
"01003","26125",23
"01003","28035",20
"01003","28039",45
"01003","28047",647
"01003","28059",594
"01003","28071",20
"01003","28121",28
"01003","32003",49
"01003","37119",132
"01003","37133",46
"01003","37183",16
"01003","45019",28
"01003","45045",23
"01003","47037",181
"01003","47065",46
"01003","47157",167
"01003","47187",23
"01003","48029",96
"01003","48085",25
"01003","48113",83
"01003","48157",32
"01003","48167",31
"01003","48201",667
"01003","48339",41
"01003","48439",185
"01003","48453",231
"01003","51059",20
"01003","53053",23
"01005","01011",357
"01005","01031",26
"01005","01045",930
"01005","01067",805
"01005","01069",1200
"01005","01073",28
"01005","01081",316
"01005","01101",277
"01005","01109",337
"01005","01113",253
"01005","13215",178
"01005","13239",436
"01007","01021",565
"01007","01073",1534
"01007","01105",27
"01007","01115",37
"01007","01117",1308
"01007","01125",2464
"01009","01003",88
"01009","01015",37
"01009","01043",2292
"01009","01049",36
"01009","01055",1232
"01009","01073",7062
"01009","01089",253
"01009","01095",2071
"01009","01103",169
"01009","01115",1553
"01009","01117",619
"01009","01121",20
"01009","01125",41
"01009","01127",471
"01009","12005",21
"01011","01005",127
"01011","01081",101
"01011","01087",147
"01011","01101",1034
"01011","01109",362
"01013","01001",54
"01013","01035",204
"01013","01039",264
"01013","01041",558
"01013","01051",70
"01013","01073",23
"01013","01081",54
"01013","01085",522
"01013","01097",45
"01013","01101",1010
"01013","01109",13
"01015","01003",530
"01015","01019",1204
"01015","01027",533
"01015","01029",1696
"01015","01043",44
"01015","01049",116
"01015","01051",32
"01015","01055",3736
"01015","01071",15
"01015","01073",2138
"01015","01081",339
"01015","01089",759
"01015","01095",426
"01015","01097",186
"01015","01101",211
"01015","01103",80
"01015","01111",577
"01015","01113",21
"01015","01115",1652
"01015","01117",753
"01015","01121",7577
"01015","01123",64
"01015","01125",342
"01015","01127",25
"01015","08101",49
"01015","12005",49
"01015","12011",11
"01015","12031",41
"01015","12033",57
"01015","12057",29
"01015","13045",446
"01015","13067",335
"01015","13089",142
"01015","13097",121
"01015","13115",89
"01015","13121",318
"01015","13135",88
"01015","13215",82
"01015","13223",18
"01015","21151",53
"01015","26163",25
"01015","48201",18
"01015","48453",113
"01017","01073",40
"01017","01081",5555
"01017","01101",76
"01017","01111",864
"01017","01113",88
"01017","01123",319
"01017","06059",29
"01017","13077",136
"01017","13089",16
"01017","13121",63
"01017","13145",126
"01017","13215",290
"01017","13285",2955
"01017","48453",135
"01019","01015",1000
"01019","01049",1289
"01019","01055",1357
"01019","01073",20
"01019","01095",30
"01019","13055",320
"01019","13115",759
"01019","13233",24
"01021","01001",1542
"01021","01003",37
"01021","01007",582
"01021","01047",153
"01021","01051",620
"01021","01071",12
"01021","01073",1604
"01021","01081",43
"01021","01097",30
"01021","01101",335
"01021","01115",90
"01021","01117",4195
"01021","01121",62
"01021","01123",28
"01021","01125",183
"01021","13045",49
"01021","13089",45
"01021","48453",61
"01023","01025",62
"01023","01091",23
"01023","01097",113
"01023","01119",59
"01023","01125",74
"01023","01129",74
"01023","28023",27
"01023","28075",395
"01023","28153",23
"01025","01003",570
"01025","01023",22
"01025","01073",84
"01025","01091",603
"01025","01097",1291
"01025","01099",153
"01025","01101",85
"01025","01125",228
"01025","01129",767
"01025","01131",680
"01027","01015",732
"01027","01029",69
"01027","01037",99
"01027","01073",16
"01027","01081",13
"01027","01111",674
"01027","01121",983
"01027","01123",449
"01029","01015",1749
"01029","01111",467
"01029","01121",177
"01029","13045",840
"01029","13143",525
"01031","01003",25
"01031","01039",1277
"01031","01041",130
"01031","01045",5310
"01031","01051",21
"01031","01061",1777
"01031","01067",37
"01031","01069",2141
"01031","01073",316
"01031","01081",102
"01031","01089",561
"01031","01097",100
"01031","01101",255
"01031","01109",1088
"01031","02090",196
"01031","06073",26
"01031","08041",592
"01031","12005",339
"01031","12031",19
"01031","12033",70
"01031","12057",34
"01031","12091",152
"01031","12105",28
"01031","12113",19
"01031","12131",29
"01031","13051",356
"01031","13089",63
"01031","13121",32
"01031","13215",43
"01031","15003",348
"01031","20061",81
"01031","20161",70
"01031","36045",309
"01031","37051",230
"01031","37085",81
"01031","47125",776
"01031","48027",566
"01031","48029",56
"01031","48099",23
"01031","48141",305
"01031","48201",20
"01031","48453",31
"01031","53053",102
"01031","53067",63
"01033","01003",20
"01033","01059",2213
"01033","01073",337
"01033","01077",8233
"01033","01079",852
"01033","01083",341
"01033","01089",884
"01033","01093",73
"01033","01101",13
"01033","01103",580
"01033","01117",57
"01033","01125",50
"01033","28141",109
"01033","47037",53
"01035","01003",51
"01035","01013",198
"01035","01039",385
"01035","01053",861
"01035","01099",742
"01035","01101",86
"01037","01027",112
"01037","01051",255
"01037","01073",59
"01037","01081",45
"01037","01101",22
"01037","01117",62
"01037","01121",1638
"01037","01123",1736
"01039","01003",71
"01039","01013",235
"01039","01031",1355
"01039","01035",155
"01039","01041",671
"01039","01045",104
"01039","01051",21
"01039","01053",119
"01039","01061",379
"01039","01069",271
"01039","01073",29
"01039","01081",50
"01039","01097",91
"01039","01101",93
"01039","01109",107
"01039","01117",15
"01039","01125",13
"01039","12005",16
"01039","12033",108
"01039","12091",751
"01039","12113",37
"01039","12131",588
"01041","01013",397
"01041","01031",245
"01041","01039",720
"01041","01051",50
"01041","01081",18
"01041","01097",17
"01041","01101",1025
"01041","01109",928
"01043","01003",141
"01043","01009",1843
"01043","01055",62
"01043","01073",2269
"01043","01077",27
"01043","01079",61
"01043","01081",35
"01043","01083",338
"01043","01089",1278
"01043","01095",2119
"01043","01097",41
"01043","01103",3509
"01043","01115",63
"01043","01117",462
"01043","01125",108
"01043","01127",803
"01043","01133",902
"01043","12005",22
"01043","47037",18
"01043","48453",66
"01045","01003",23
"01045","01005",730
"01045","01031",6111
"01045","01039",44
"01045","01041",21
"01045","01061",994
"01045","01067",946
"01045","01069",7059
"01045","01073",151
"01045","01081",41
"01045","01089",440
"01045","01097",83
"01045","01101",281
"01045","01109",655
"01045","02090",511
"01045","04013",37
"01045","08041",818
"01045","12005",239
"01045","12031",69
"01045","12033",49
"01045","12057",26
"01045","12091",70
"01045","13051",391
"01045","13179",25
"01045","13215",88
"01045","15003",763
"01045","20061",334
"01045","20161",114
"01045","36045",725
"01045","37051",354
"01045","37085",156
"01045","47125",927
"01045","48027",848
"01045","48029",106
"01045","48099",59
"01045","48141",818
"01045","48201",22
"01045","48453",44
"01045","51059",28
"01045","53053",341
"01045","53067",80
"01047","01001",1216
"01047","01003",266
"01047","01017",85
"01047","01021",409
"01047","01051",560
"01047","01073",940
"01047","01081",49
"01047","01085",214
"01047","01089",135
"01047","01091",29
"01047","01097",87
"01047","01101",2752
"01047","01105",499
"01047","01117",232
"01047","01125",479
"01047","01131",130
"01047","13063",37
"01047","13067",22
"01047","13089",33
"01047","13121",64
"01047","48453",292
"01049","01003",67
"01049","01015",130
"01049","01019",1317
"01049","01055",1778
"01049","01071",3653
"01049","01073",505
"01049","01081",38
"01049","01089",604
"01049","01095",5122
"01049","01097",31
"01049","01103",25
"01049","01115",33
"01049","01117",34
"01049","01125",39
"01049","13055",69
"01049","13083",336
"01049","13115",56
"01049","13295",24
"01049","47011",155
"01049","47065",591
"01049","48201",40
"01051","01001",8243
"01051","01003",706
"01051","01013",23
"01051","01015",37
"01051","01021",584
"01051","01037",164
"01051","01041",41
"01051","01047",101
"01051","01053",24
"01051","01055",19
"01051","01069",85
"01051","01073",850
"01051","01081",1182
"01051","01085",63
"01051","01087",339
"01051","01089",212
"01051","01097",378
"01051","01101",10357
"01051","01109",41
"01051","01113",70
"01051","01117",704
"01051","01121",65
"01051","01123",2383
"01051","01125",119
"01051","12005",60
"01051","12033",23
"01051","12057",58
"01051","12086",17
"01051","12091",82
"01051","12097",13
"01051","13063",23
"01051","13067",21
"01051","13089",17
"01051","13121",40
"01051","13135",23
"01051","13215",118
"01051","48029",48
"01051","48453",136
"01053","01003",1729
"01053","01035",724
"01053","01039",160
"01053","01051",26
"01053","01073",68
"01053","01097",695
"01053","01099",626
"01053","01101",105
"01053","01117",32
"01053","12033",2270
"01053","12091",24
"01053","12113",734
"01055","01003",370
"01055","01009",1147
"01055","01015",3375
"01055","01019",1340
"01055","01043",97
"01055","01049",1583
"01055","01071",34
"01055","01073",1997
"01055","01081",85
"01055","01089",1006
"01055","01095",4710
"01055","01097",64
"01055","01101",71
"01055","01103",122
"01055","01115",1952
"01055","01117",546
"01055","01121",425
"01055","01125",174
"01055","12005",37
"01055","12057",28
"01055","12086",17
"01055","13067",80
"01055","13089",11
"01055","13121",43
"01055","13215",27
"01055","47065",65
"01055","48453",30
"01057","01073",56
"01057","01075",396
"01057","01093",1453
"01057","01107",23
"01057","01125",1403
"01057","01127",365
"01059","01033",2608
"01059","01073",127
"01059","01077",1060
"01059","01079",316
"01059","01089",238
"01059","01093",1299
"01059","01103",575
"01059","01125",393
"01059","01127",272
"01059","01133",675
"01059","28013",64
"01059","28057",467
"01059","28081",108
"01059","28141",727
"01061","01003",29
"01061","01031",1720
"01061","01039",287
"01061","01045",898
"01061","01067",21
"01061","01069",3090
"01061","01109",17
"01061","12005",38
"01061","12057",16
"01061","12059",571
"01061","12063",36
"01061","12091",40
"01061","12131",85
"01063","01073",31
"01063","01091",172
"01063","01119",33
"01063","01125",1594
"01065","01007",23
"01065","01073",110
"01065","01091",630
"01065","01101",21
"01065","01105",141
"01065","01125",3840
"01067","01005",676
"01067","01045",932
"01067","01069",3396
"01067","01101",32
"01069","01001",31
"01069","01003",506
"01069","01005",1210
"01069","01031",2250
"01069","01039",195
"01069","01045",7078
"01069","01051",64
"01069","01061",3092
"01069","01067",3764
"01069","01073",839
"01069","01081",547
"01069","01089",460
"01069","01097",499
"01069","01101",859
"01069","01109",740
"01069","01113",49
"01069","01117",340
"01069","01123",542
"01069","01125",171
"01069","06037",23
"01069","06073",18
"01069","12005",1164
"01069","12011",49
"01069","12031",131
"01069","12033",201
"01069","12057",167
"01069","12059",84
"01069","12063",1169
"01069","12073",405
"01069","12086",42
"01069","12091",432
"01069","12095",77
"01069","12099",16
"01069","12103",28
"01069","12105",64
"01069","12113",82
"01069","12131",139
"01069","12133",82
"01069","13051",34
"01069","13063",53
"01069","13067",104
"01069","13089",117
"01069","13095",18
"01069","13099",273
"01069","13121",280
"01069","13135",102
"01069","13215",283
"01069","13253",85
"01069","15003",33
"01069","34003",32
"01069","37051",25
"01069","37119",23
"01069","45045",38
"01069","47037",35
"01069","47125",26
"01069","48027",31
"01069","48029",24
"01069","48113",19
"01069","48201",86
"01069","48453",196
"01071","01049",3535
